"","month","num_cases","perc_cases"
"1",2020-09-01,86589,1.11
"2",2020-10-01,104943,1.35
"3",2020-11-01,350551,4.51
"4",2020-12-01,1012914,13.02
"5",2021-01-01,712817,9.17
"6",2021-02-01,143973,1.85
"7",2021-03-01,64652,0.83
"8",2021-04-01,49528,0.64
"9",2021-05-01,28192,0.36
"10",2021-06-01,27337,0.35
"11",2021-07-01,158979,2.04
"12",2021-08-01,299265,3.85
"13",2021-09-01,174066,2.24
"14",2021-10-01,124981,1.61
"15",2021-11-01,117426,1.51
"16",2021-12-01,610369,7.85
"17",2022-01-01,1888540,24.28
"18",2022-02-01,237510,3.05
"19",2022-03-01,63857,0.82
"20",2022-04-01,108443,1.39
"21",2022-05-01,308434,3.97
"22",2022-06-01,410806,5.28
"23",2022-07-01,449495,5.78
"24",2022-08-01,243750,3.13
